,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,Slovenia,9.95,9.35,9.01,8.92,11.83,35.13,21.0,17.31,20.92,21.95,21.79,23.12,23.24,23.75,27.08,28.55,39.29,37.74,40.01,42.11,42.17
33,Spain,2621.43,2953.56,2784.43,2637.78,2659.37,2575.28,2707.34,2720.98,2657.97,2538.75,2811.18,3381.61,3426.07,3344.23,3439.97,3807.0,4152.24,4552.94,4650.89,4513.45,4198.13
34,Sweden,661.01,721.91,748.79,820.68,971.79,1254.75,1603.48,1525.33,1655.22,2006.55,2443.42,2336.49,2424.14,2879.31,3227.05,3680.51,4427.3,4049.5,4697.06,4635.01,4291.62
35,Switzerland,5.77,5.67,7.62,9.26,12.63,14.57,22.1,21.01,27.66,24.51,22.79,22.86,22.61,25.37,22.03,20.86,20.23,21.62,22.04,25.31,27.62
36,Türkiye,139.35,144.68,202.94,210.3,252.42,254.8,208.34,193.99,339.65,302.07,285.55,356.03,364.25,466.43,603.57,698.91,828.25,963.54,1239.93,1372.86,1562.99
37,United Kingdom,1759.03,1895.18,1832.16,2025.59,1916.59,1931.02,1920.74,1966.47,1983.94,2308.25,2598.54,2827.33,2608.96,2712.81,2902.41,2515.27,2970.73,3353.97,3108.06,3348.43,2656.96
38,United States,4184.73,4434.89,4287.72,4381.35,4557.0,5128.88,4863.04,5084.27,5026.65,4654.84,5198.17,6292.96,5740.99,5848.86,5909.73,5670.39,5532.67,6068.77,5491.29,5054.76,4145.64
39,  Argentina,1122.76,1253.74,2359.42,2509.39,2137.95,1892.41,2718.46,2119.03,2054.42,1820.18,1880.41,1763.83,1435.17,1569.95,1756.8,1466.76,1926.73,1996.18,2508.66,2439.32,2362.89
40,  Bangladesh,553.57,596.01,504.1,516.05,579.02,1019.72,732.15,962.69,792.23,528.67,676.79,793.2,627.94,604.58,636.55,447.91,440.76,381.94,337.48,347.79,303.17
41,  Brazil,438.1,616.61,843.37,950.95,856.11,628.42,480.95,345.71,264.43,199.46,179.58,164.17,162.24,169.82,158.69,223.36,237.09,217.4,251.96,310.54,334.31
42,  China (People's Republic of),8475.78,9200.26,10246.37,11639.8,13759.79,14840.42,16567.24,15152.11,14069.69,14016.75,16722.53,18880.85,19296.96,19811.73,20904.89,19924.14,21383.01,21256.35,21225.42,20221.08,18500.11
43,  India,2262.25,2028.31,2295.19,1950.32,1932.87,2041.4,2181.63,1786.97,1682.31,2193.96,2405.49,3129.11,3194.12,4462.24,5462.22,4883.1,5636.47,6793.55,6644.93,6527.31,5510.96
44,  Indonesia,3511.52,3627.96,3021.8,2750.15,2899.72,2923.62,2649.24,2553.76,2749.45,2512.14,2368.0,2628.7,3027.35,3447.94,4116.57,3788.8,3890.2,4103.46,4510.68,4444.52,4895.73
45,  Malaysia,316.92,353.59,594.96,386.3,815.34,806.86,756.89,800.41,733.86,704.02,754.99,753.49,695.3,670.82,734.62,688.36,744.69,752.2,744.54,899.03,881.88
46,  Peru,1893.78,2063.46,1795.7,1687.16,2095.02,2302.59,2303.96,2401.7,2753.52,2535.02,2578.71,2933.01,2915.89,2468.16,2667.17,2387.28,2246.01,2746.85,3112.24,3317.97,2669.11
47,  Philippines,778.21,783.44,820.1,855.84,817.48,634.67,620.86,644.41,777.77,708.14,747.09,720.95,824.04,1131.7,1021.72,805.29,758.25,944.41,982.19,881.3,827.02
48,  Russia,4258.79,3870.64,3298.51,2947.14,2379.27,2503.15,2276.88,2099.03,1916.44,2119.83,2180.6,2101.16,2004.91,2164.37,2586.32,3678.73,4148.63,3997.38,4579.76,4729.1,5191.08
49,  Chinese Taipei,1635.35,1829.78,1672.91,1353.0,1851.7,1654.36,1496.93,1718.38,1610.24,1695.2,2024.09,2248.18,2231.22,1938.76,1798.33,1619.49,1671.67,1786.58,1882.63,1842.0,1387.52
50,  Thailand,7682.07,7760.72,6723.39,6749.35,6536.74,6865.25,7207.62,6951.15,7302.37,7158.57,7289.2,7698.94,7687.35,6478.77,6359.39,5701.79,5939.53,5724.61,5404.98,4962.58,4960.2
51,  Viet Nam,4453.33,5539.85,6157.4,6285.64,6546.94,6264.03,7112.08,7325.11,7270.81,6776.63,6170.95,6843.69,6403.42,6785.29,7708.13,6774.15,7291.8,8330.96,8430.35,8189.67,7958.36
