#NAME?,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Türkiye,329.77,273.93,224.47,387.61,472.46,538.52,558.88,531.04,500.16,535.5,558.54,618.17,731.44,731.88,855.81,943.83,1100.65,1239.76,1474.02,1776.96,2184.11
United Kingdom,638.77,733.15,731.27,621.94,619.47,632.75,753.37,822,897.13,834.98,847.51,1059.84,944.07,1241.83,1274.98,1127.81,1269.97,1675.79,1389.37,1625.97,1460.11
United States,358.46,354.97,288.78,349.93,396.49,390.53,406.05,369.02,386.11,389.31,417.16,448.69,452.46,609.8,525.73,520.07,587.22,562.63,644.69,567.91,511.35
OECD - Total,15956.6,16778.55,16018.35,17205.77,17505.19,18352.92,20200.01,20561.54,19636,20984.13,20245.76,21806.71,21716.61,24683.24,28708.04,27719.84,32654.65,35453.19,35076.09,36949.06,35157.36
  Argentina,6.73,8.2,20.3,17.66,23.59,21.52,27.73,20.89,11.76,9.49,14.2,11.24,10.35,12.77,15.08,14.63,9.8,10.03,7.93,8.58,7.57
  Bangladesh,386.51,363.65,383.64,373.69,380.31,386.11,461.43,459.89,467.81,719.73,599.75,709.24,877.11,923.61,1035.92,988.6,835.36,829.86,760.2,749.94,751.46
  Brazil,134.63,198.62,322.58,433.51,328.7,216.42,187.4,214.82,274.99,299.65,343.19,349.41,353.83,291.21,294.17,307.14,271.9,269.74,298.28,305.97,326.05
  China (People's Republic of),26749.96,28686.12,31640.53,30799.14,29439.62,32248.77,33510.03,33233.55,34585.41,36510.35,38967.02,40804.23,45516.11,48937.16,52213.92,54134.56,60657.02,61390.91,59795.39,63430.04,65038.27
  India,1288.57,1098.52,1155.88,953.62,1125.26,962.87,1049.46,890.91,868.92,826.37,600.5,1330.69,1508.26,2730,3085.87,2887.53,2715.52,3629.56,3730.93,4194.63,4780.35
  Indonesia,2902.28,3187.69,2241.33,2084.23,2697.88,2778.9,2656.14,2410.66,2413.71,2715.81,3430.77,3242.32,3319.39,5121.18,4853.41,4144.22,5456.8,6726.14,7304.79,6765.83,6600.85
  Malaysia,300.89,428.4,361.72,356.9,371.15,336.28,331.6,311.26,393.61,471.95,536.62,450.18,443.84,351,669.58,640.33,512.14,592.44,581.31,1320.12,2010.89
  Peru,62.37,75.1,119.04,129.96,174.87,218.6,223.63,323.76,327.87,324.96,661.69,608.45,394.77,767.04,694.55,423.22,469.44,366.02,575.28,466.52,374.27
  Philippines,1062.11,1131.84,1037.1,1003.14,1173.83,1202.97,1335.72,1323.14,1709.75,1595.52,1584.34,1604.3,1670.47,1651.48,1625.17,1603.04,1560.76,1683.08,1795.84,1916.34,1809.39
  Russia,168.9,145.27,159.08,155.39,142.31,126.87,128.08,119.69,114.05,150.71,140.9,137.51,143.65,187.02,213.62,281.86,347.11,308.51,372.43,520.61,883.37
  Chinese Taipei,622.59,726.19,720.12,739.55,754.02,722.59,677.46,814.96,823.31,732.03,941.48,1137.16,992.77,1096.22,1095.61,995.08,856.67,935.34,936.96,916.56,786.93
  Thailand,3982.97,2950.42,2405.35,1976.05,1976.49,1901.46,2008.69,1870.17,1869.57,2244.52,2197.73,2541.6,2549.55,1969.48,1731.19,1612.97,1782.55,1944.87,1979.22,1994.06,1895.16
  Viet Nam,1369.59,2238.64,2703.72,2937.52,3366.56,3295.74,3250.22,3246.33,2729.56,2877.72,2327.17,2385.55,2092.59,2400.73,3518.14,4578.92,4743.22,5003.52,6490.13,8477.3,8788.29
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
