#NAME?,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"  Hong Kong, China",0.5,1.5,3.5,..,1.33,1.33,0.5,2.17,2,..,2.5,0.5,1,2.33,1,..,1.33,1.5,..,0.33
  India,4,1.5,4,7,1.08,5,8.2,3.33,12.75,9.12,11.03,7.5,9.75,12,8.5,14.25,11.83,13.17,9,5.5
  Indonesia,..,..,..,..,1,..,..,1,2,1.5,1,..,2.33,3,0.5,..,1,1,0.5,..
  Iran,..,..,..,..,..,..,..,..,..,1,4,0.5,..,1,1,2,2,6,9,..
  Jamaica,..,..,..,..,..,..,..,..,0.5,0.2,..,1,..,0.5,..,..,1,0.5,1,..
  Jordan,..,..,..,..,..,..,1,..,..,..,..,1,..,0.5,..,1,1,2,..,..
  Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1,3,0.33,2,0.67,..
  Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1.5,..,..
  Democratic People's Republic of Korea,..,..,..,..,..,..,..,0.5,..,..,0.5,..,..,..,..,0.5,..,..,..,..
  Kuwait,..,..,..,..,..,..,..,..,..,..,2.33,4,5,1,1,2,3,0.5,3,3
  Lebanon,..,..,..,..,..,..,..,..,..,..,1,..,0.5,0.33,..,1.83,0.5,0.5,0.5,0.33
  Libya,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..
"  Macau, China",..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,0.5,..,..
  Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..
  Malaysia,..,..,1,..,1,..,1,1,1,2.17,0.25,1.33,1.5,4,1,3,4,4,2,..
  Malta,..,..,..,..,..,1,..,..,..,1.25,..,..,..,1,1,1,..,..,..,3
  Martinique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
  Mauritius,..,..,..,..,..,..,2,2,..,..,..,..,..,..,..,3,..,..,..,..
  Moldova,3,2,..,0.5,1,12.5,3,1,4.5,0.5,4,3,3,5,1,3,3,4,..,1
  Monaco,..,1.67,0.33,0.92,1.33,0.83,0.33,2.17,3,2,3,1,1,0.67,1.67,0.5,..,..,2,2
  Montenegro,..,..,..,0.83,0.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Morocco,..,1,1,..,..,..,1,1,1,1,..,2,4,3,1.83,..,..,..,..,..
  Namibia,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..
  Nepal,..,..,..,..,..,0.5,0.5,..,..,..,..,..,..,..,..,..,..,..,0.5,..
  Niger,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,0.5,..
  North Macedonia,1,..,1,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..
  Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..
  Oman,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,1,..
  Pakistan,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.25,1,0.33,0.67,..
  Panama,..,1,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,1.5,2,1
  Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
  Peru,1,..,..,1,..,..,..,..,..,..,..,2,0.25,..,..,..,1,1.5,..,1
  Philippines,1,1,..,1,1.33,..,1,..,1,..,..,..,0.5,..,1,5,4,1.5,4,8.5
  Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..
  Qatar,..,..,..,..,..,..,..,..,..,..,0.5,..,..,1.5,0.5,2.5,4,2,1,1
  Romania,5,1,7,1.5,1.5,4,2,3,7,13,12,9,5.5,4,6.67,6,9.5,9,2.5,2
  Russia,25.33,10,31.83,48,56.75,70.5,59,65,70.83,62.5,68,73,72,66.5,88.25,68,65.83,87,75,66.83
  Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..
  Saudi Arabia,..,2,0.5,1.5,2,1,2.5,2.17,3.83,3.5,6,10.5,8.5,13.5,5.83,12.25,10.5,11.5,16.67,16.25
  Senegal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
  Serbia,..,..,..,..,0.5,..,1,5.2,10,1,2,3,3,1,1,2,2,3,4,1
  Seychelles,..,..,..,..,0.5,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.33,..
  Singapore,0.5,1.5,1,3.33,5.33,2.83,5.2,4.5,13.17,12.08,14.67,14.83,28,10.33,8.5,12.83,4.83,5.5,12,6.67
  South Africa,1,..,3,3,0.5,7.5,2.5,5.5,6,0.5,14.5,6.5,4,2,3.5,2,2.5,2,1,1
  Sri Lanka,..,..,..,..,..,..,..,1,..,..,..,..,0.5,8,..,..,..,..,..,..
  Sudan,..,..,..,..,..,..,..,0.67,..,..,..,..,..,1,..,..,..,..,..,..
  Syrian Arab Republic,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,1,..,1,..,..
  Chinese Taipei,16,17.33,12.33,19,17.5,18,39,43,49.5,62,58.5,45.33,52.5,56.5,52.83,42,60.5,65,69.83,48.5
  Thailand,1.83,..,1.5,..,..,0.5,0.5,..,0.5,3.5,1,2,1,..,1,2,2.5,2,3.5,1
  Tonga,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..
  Trinidad and Tobago,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Tunisia,..,..,..,..,..,..,..,0.33,..,1,1,..,..,..,..,..,..,..,1,..
  Ukraine,8,4.5,7,27.5,6.5,7.5,4,16,11.67,17.67,13.83,3,11.5,5.5,9.5,4,3,4,1,2
  United Arab Emirates,0.5,..,..,..,1.25,0.5,0.5,0.5,..,1,1.33,2.5,1,1.5,2.83,3,4,1,2,2.5
  Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,..,..,..
  Uzbekistan,..,..,..,..,0.5,0.5,1,..,..,..,..,..,..,..,..,..,1,..,..,..
  Venezuela,..,..,0.5,..,0.33,..,0.5,1.5,..,..,..,..,1,..,..,4.5,..,..,0.25,..
  Viet Nam,..,..,1.5,1,..,..,..,..,0.5,..,1,..,1.33,0.5,2,3.5,1.5,2,2.2,..
  Zambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..
  Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..
OECD America,201.17,230,246.83,280.33,298.37,294.03,353.53,413.03,477.17,531.53,725.42,545.25,439.32,460.33,479.87,420.92,443.83,401.83,446.2,314.17
OECD Asia Oceania,220,226,189,181.33,340.7,379.7,466,564,740.67,1026.25,1204.07,1309.17,1618.4,1368,1477.17,1387.92,1338,991.83,616.77,557.67
