"25","Poland","143.88","128.21","93.13","78.66","46.12","40.39","43.26","39.56","26.46","35.53","34.75","39.68",50.33,50,42.18,43.85,"45.49",44.66,"45.38","39.48","36.42"
"26","Portugal","412.56","423.42","423.93","392.6","343.36","326.88","292.4","330.21","478.23","424.63","503.47","502.5",523.74,476.69,426.34,413.17,"521.2",524.21,"528.32","532.42","475.8"
"27","Slovenia",NA,NA,NA,NA,NA,NA,"1.9","2.3","1.69","1.94","2.31","2.35",1.67,1.38,1.42,1.4,"1.25",0.96,"0.96","0.91","1.25"
"28","Spain","2625.31","2610.65","2709.67","2493.39","2367.3","1862.41","1988.14","1913.42","2144.64","2004.25","2086.25","1971.01",2059.43,2381.83,3007.82,2275.02,"2250.05",2202.74,"1988.11",NA,"1531.16"
"29","Sweden","160.63","191.33","170.31","139.65","133.6","138.32","150.86","158.78","142","129.22","130.82","140.21",141,133,112.39,126.28,"136.05",144.92,"129.51","117.89","104.67"
"30","Türkiye","804.81","706.37","660.05","740.67","845.8","1129.33","1114.84","794.34","583.4","403.31","492.23","499.59",498.51,474.38,393.06,415.62,"416.11",431.2,"452.94","509.43","535.31"
"31","United Kingdom","1153.47","1184.46","1101.9","1036.54","977.53","1066.01","1107.9","1137.81","1081.68","1136.96","1188.77","1345.49",1254.7,1157,1330.22,1184.9,"1419.28",1459.51,"1453.84","1375.46","1055.17"
"32","United States","5045","4409.6","4225.72","4320.32","4738.54","4801.48","4963.34","4805.72","4968.45","4504.52","5374.18","6255.62",6386.37,6424.74,6202.98,5657.4,"5930.6",5702.22,"5755.03","5464.46","4634.6"
"33","OECD - Total","38212.45","37588.73","37439.58","35103.24","35353.93","35111.35","35839.36","35603.55","35364.38","33188.67","33667.05","35930.72",34291.76,34619.82,36385.83,35520.53,"36140.75",35922.29,"36238.55","34870.21","32234.4"
"34","  Argentina",NA,NA,NA,NA,NA,NA,NA,"3086.01","2814.06","2030.6","2216.59","2014.3",1766.7,1922.76,1989.62,1845.89,"2217.35",2652.96,"3390.25","3139.29","3133.22"
"35","  China (People's Republic of)",NA,NA,NA,"19386.89","20617.52","20858.83","22006.67","22024.85","21366.15","22635.44","23318.04","25244.54",28286.16,30099.71,31279.22,32172.08,"31309.27",30196.31,"32714.27","30576.33","31581.79"
"36","  Indonesia",NA,NA,NA,NA,NA,"5439.92","5328.48","5802.57","5082.76","5094.91","5709.99","5747.79",6189.94,7630.61,7724.96,8219.31,NA,12573.71,NA,NA,NA
"37","  Chinese Taipei","1847.11","1815.35","1804.18","1935.31","2020.73","1844.15","1787.39","1994.03","1899.25","1786.43","1842.13","2149.67",2282.95,1989.88,2008.77,1653.51,"1638.14",1695.34,"1641.88","1604.78","1228.97"
"38","  Thailand","2157.92","2302.33","2460.29","2647.62","2462","2396.63","2273.79","1947.31","1410.98","1428.66","1460.84","1535.78",1667.35,1676.42,1536.46,1486.24,"1587.09",1625.48,"1792.43",NA,NA
