"","Date","Beach","Attendance","Month","Year"
"1330","07/25/2018","Coney Island",3825,"July","2018"
"1331","07/25/2018","Manhattan",110,"July","2018"
"1332","07/25/2018","Rockaway",2000,"July","2018"
"1333","07/25/2018","Midland",600,"July","2018"
"1334","07/25/2018","South beach",700,"July","2018"
"1335","07/25/2018","Wolfe's Pond",65,"July","2018"
"1336","07/25/2018","Cedar Grove",60,"July","2018"
"1337","07/26/2018","Orchard",300,"July","2018"
"1338","07/26/2018","Coney Island",52000,"July","2018"
"1339","07/26/2018","Manhattan",600,"July","2018"
"1340","07/26/2018","Rockaway",8000,"July","2018"
"1341","07/26/2018","Midland",1600,"July","2018"
"1342","07/26/2018","South beach",2150,"July","2018"
"1343","07/26/2018","Wolfe's Pond",100,"July","2018"
"1344","07/26/2018","Cedar Grove",80,"July","2018"
"1345","07/27/2018","Orchard",900,"July","2018"
"1346","07/27/2018","Coney Island",96000,"July","2018"
"1347","07/27/2018","Manhattan",1400,"July","2018"
"1348","07/27/2018","Rockaway",13000,"July","2018"
"1349","07/27/2018","Midland",3650,"July","2018"
"1350","07/27/2018","South beach",5400,"July","2018"
"1351","07/27/2018","Wolfe's Pond",120,"July","2018"
"1352","07/27/2018","Cedar Grove",125,"July","2018"
"1353","07/28/2018","Orchard",9500,"July","2018"
"1354","07/28/2018","Coney Island",84000,"July","2018"
"1355","07/28/2018","Manhattan",3000,"July","2018"
"1356","07/28/2018","Rockaway",75500,"July","2018"
"1357","07/28/2018","Midland",10550,"July","2018"
"1358","07/28/2018","South beach",12200,"July","2018"
"1359","07/28/2018","Wolfe's Pond",490,"July","2018"
"1360","07/28/2018","Cedar Grove",400,"July","2018"
"1361","07/29/2018","Orchard",53050,"July","2018"
"1362","07/29/2018","Coney Island",76200,"July","2018"
"1363","07/29/2018","Manhattan",4000,"July","2018"
"1364","07/29/2018","Rockaway",65500,"July","2018"
"1365","07/29/2018","Midland",10400,"July","2018"
"1366","07/29/2018","South beach",11500,"July","2018"
"1367","07/29/2018","Wolfe's Pond",850,"July","2018"
"1368","07/29/2018","Cedar Grove",500,"July","2018"
"1369","07/30/2018","Orchard",2700,"July","2018"
"1370","07/30/2018","Coney Island",20000,"July","2018"
"1371","07/30/2018","Manhattan",1150,"July","2018"
"1372","07/30/2018","Rockaway",12000,"July","2018"
"1373","07/30/2018","Midland",1100,"July","2018"
"1374","07/30/2018","South beach",1250,"July","2018"
"1375","07/30/2018","Wolfe's Pond",50,"July","2018"
"1376","07/30/2018","Cedar Grove",50,"July","2018"
"1377","07/31/2018","Orchard",1500,"July","2018"
"1378","07/31/2018","Coney Island",28900,"July","2018"
"1379","07/31/2018","Manhattan",980,"July","2018"
"1380","07/31/2018","Rockaway",12200,"July","2018"
"1381","07/31/2018","Midland",900,"July","2018"
"1382","07/31/2018","South beach",1050,"July","2018"
"1383","07/31/2018","Wolfe's Pond",450,"July","2018"
"1384","07/31/2018","Cedar Grove",350,"July","2018"
"1385","08/01/2018","Orchard",1550,"August","2018"
"1386","08/01/2018","Coney Island",10150,"August","2018"
"1387","08/01/2018","Manhattan",1550,"August","2018"
"1388","08/01/2018","Rockaway",8000,"August","2018"
"1389","08/01/2018","Midland",1250,"August","2018"
"1390","08/01/2018","South beach",1450,"August","2018"
"1391","08/01/2018","Wolfe's Pond",205,"August","2018"
"1392","08/01/2018","Cedar Grove",70,"August","2018"
"1393","08/02/2018","Orchard",2100,"August","2018"
"1394","08/02/2018","Coney Island",13300,"August","2018"
"1395","08/02/2018","Manhattan",1700,"August","2018"
"1396","08/02/2018","Rockaway",17500,"August","2018"
"1397","08/02/2018","Midland",2600,"August","2018"
"1398","08/02/2018","South beach",3450,"August","2018"
"1399","08/02/2018","Wolfe's Pond",105,"August","2018"
"1400","08/02/2018","Cedar Grove",110,"August","2018"
"1401","08/03/2018","Orchard",475,"August","2018"
"1402","08/03/2018","Coney Island",25000,"August","2018"
"1403","08/03/2018","Manhattan",450,"August","2018"
"1404","08/03/2018","Rockaway",5200,"August","2018"
"1405","08/03/2018","Midland",2100,"August","2018"
"1406","08/03/2018","South beach",3300,"August","2018"
"1407","08/03/2018","Wolfe's Pond",70,"August","2018"
"1408","08/03/2018","Cedar Grove",80,"August","2018"
"1409","08/04/2018","Orchard",2025,"August","2018"
"1410","08/04/2018","Coney Island",60400,"August","2018"
"1411","08/04/2018","Manhattan",2590,"August","2018"
"1412","08/04/2018","Rockaway",19500,"August","2018"
"1413","08/04/2018","Midland",2925,"August","2018"
"1414","08/04/2018","South beach",3450,"August","2018"
"1415","08/04/2018","Wolfe's Pond",110,"August","2018"
"1416","08/04/2018","Cedar Grove",200,"August","2018"
"1417","08/05/2018","Orchard",88500,"August","2018"
"1418","08/05/2018","Coney Island",107000,"August","2018"
"1419","08/05/2018","Manhattan",9500,"August","2018"
"1420","08/05/2018","Rockaway",218000,"August","2018"
"1421","08/05/2018","Midland",18000,"August","2018"
"1422","08/05/2018","South beach",12500,"August","2018"
"1423","08/05/2018","Wolfe's Pond",470,"August","2018"
"1424","08/05/2018","Cedar Grove",750,"August","2018"
"1425","08/06/2018","Orchard",9000,"August","2018"
"1426","08/06/2018","Coney Island",39000,"August","2018"
"1427","08/06/2018","Manhattan",1500,"August","2018"
"1428","08/06/2018","Rockaway",55500,"August","2018"
"1429","08/06/2018","Midland",3200,"August","2018"
"1430","08/06/2018","South beach",3800,"August","2018"
"1431","08/06/2018","Wolfe's Pond",300,"August","2018"
"1432","08/06/2018","Cedar Grove",450,"August","2018"
"1433","08/07/2018","Orchard",8000,"August","2018"
"1434","08/07/2018","Coney Island",18500,"August","2018"
"1435","08/07/2018","Manhattan",1600,"August","2018"
"1436","08/07/2018","Rockaway",178000,"August","2018"
"1437","08/07/2018","Midland",33000,"August","2018"
"1438","08/07/2018","South beach",21600,"August","2018"
"1439","08/07/2018","Wolfe's Pond",250,"August","2018"
"1440","08/07/2018","Cedar Grove",280,"August","2018"
"1441","08/08/2018","Orchard",4000,"August","2018"
"1442","08/08/2018","Coney Island",20600,"August","2018"
"1443","08/08/2018","Manhattan",900,"August","2018"
"1444","08/08/2018","Rockaway",14800,"August","2018"
"1445","08/08/2018","Midland",9500,"August","2018"
"1446","08/08/2018","South beach",9950,"August","2018"
"1447","08/08/2018","Wolfe's Pond",155,"August","2018"
"1448","08/08/2018","Cedar Grove",175,"August","2018"
"1449","08/09/2018","Orchard",3700,"August","2018"
"1450","08/09/2018","Coney Island",32000,"August","2018"
"1451","08/09/2018","Manhattan",400,"August","2018"
"1452","08/09/2018","Rockaway",9000,"August","2018"
"1453","08/09/2018","Midland",3650,"August","2018"
"1454","08/09/2018","South beach",5000,"August","2018"
"1455","08/09/2018","Wolfe's Pond",100,"August","2018"
"1456","08/09/2018","Cedar Grove",125,"August","2018"
"1457","08/10/2018","Orchard",21000,"August","2018"
"1458","08/10/2018","Coney Island",53000,"August","2018"
"1459","08/10/2018","Manhattan",1500,"August","2018"
"1460","08/10/2018","Rockaway",28000,"August","2018"
"1461","08/10/2018","Midland",7100,"August","2018"
"1462","08/10/2018","South beach",9700,"August","2018"
"1463","08/10/2018","Wolfe's Pond",180,"August","2018"
"1464","08/10/2018","Cedar Grove",230,"August","2018"
"1465","08/11/2018","Orchard",190,"August","2018"
"1466","08/11/2018","Coney Island",175,"August","2018"
"1467","08/11/2018","Manhattan",110,"August","2018"
"1468","08/11/2018","Rockaway",2500,"August","2018"
"1469","08/11/2018","Midland",1150,"August","2018"
"1470","08/11/2018","South beach",1900,"August","2018"
"1471","08/11/2018","Wolfe's Pond",70,"August","2018"
"1472","08/11/2018","Cedar Grove",80,"August","2018"
"1473","08/12/2018","Orchard",15500,"August","2018"
"1474","08/12/2018","Coney Island",46000,"August","2018"
"1475","08/12/2018","Manhattan",1500,"August","2018"
"1476","08/12/2018","Rockaway",23500,"August","2018"
"1477","08/12/2018","Midland",7700,"August","2018"
"1478","08/12/2018","South beach",8600,"August","2018"
"1479","08/12/2018","Wolfe's Pond",320,"August","2018"
"1480","08/12/2018","Cedar Grove",480,"August","2018"
"1481","08/13/2018","Orchard",260,"August","2018"
"1482","08/13/2018","Coney Island",1020,"August","2018"
"1483","08/13/2018","Manhattan",80,"August","2018"
"1484","08/13/2018","Rockaway",2000,"August","2018"
"1485","08/13/2018","Midland",400,"August","2018"
"1486","08/13/2018","South beach",500,"August","2018"
"1487","08/13/2018","Wolfe's Pond",60,"August","2018"
"1488","08/13/2018","Cedar Grove",80,"August","2018"
"1489","08/14/2018","Orchard",156300,"August","2018"
"1490","08/14/2018","Coney Island",426145,"August","2018"
"1491","08/14/2018","Manhattan",23380,"August","2018"
"1492","08/14/2018","Rockaway",581500,"August","2018"
"1493","08/14/2018","Midland",92575,"August","2018"
"1494","08/14/2018","South beach",85200,"August","2018"
"1495","08/14/2018","Wolfe's Pond",2395,"August","2018"
"1496","08/14/2018","Cedar Grove",3110,"August","2018"
"1497","08/15/2018","Orchard",25400,"August","2018"
"1498","08/15/2018","Coney Island",40800,"August","2018"
"1499","08/15/2018","Manhattan",2500,"August","2018"
"1500","08/15/2018","Rockaway",28500,"August","2018"
"1501","08/15/2018","Midland",8900,"August","2018"
"1502","08/15/2018","South beach",9900,"August","2018"
"1503","08/15/2018","Wolfe's Pond",115,"August","2018"
"1504","08/15/2018","Cedar Grove",120,"August","2018"
"1505","08/16/2018","Orchard",4150,"August","2018"
"1506","08/16/2018","Coney Island",58000,"August","2018"
"1507","08/16/2018","Manhattan",3700,"August","2018"
"1508","08/16/2018","Rockaway",26500,"August","2018"
"1509","08/16/2018","Midland",6000,"August","2018"
"1510","08/16/2018","South beach",7300,"August","2018"
"1511","08/16/2018","Wolfe's Pond",105,"August","2018"
"1512","08/16/2018","Cedar Grove",100,"August","2018"
"1513","08/17/2018","Orchard",4500,"August","2018"
"1514","08/17/2018","Coney Island",52000,"August","2018"
"1515","08/17/2018","Manhattan",1600,"August","2018"
"1516","08/17/2018","Rockaway",29500,"August","2018"
"1517","08/17/2018","Midland",6100,"August","2018"
"1518","08/17/2018","South beach",7600,"August","2018"
"1519","08/17/2018","Wolfe's Pond",90,"August","2018"
"1520","08/17/2018","Cedar Grove",180,"August","2018"
"1521","08/18/2018","Orchard",15300,"August","2018"
"1522","08/18/2018","Coney Island",77500,"August","2018"
"1523","08/18/2018","Manhattan",3000,"August","2018"
"1524","08/18/2018","Rockaway",57000,"August","2018"
"1525","08/18/2018","Midland",17200,"August","2018"
"1526","08/18/2018","South beach",15800,"August","2018"
"1527","08/18/2018","Wolfe's Pond",325,"August","2018"
"1528","08/18/2018","Cedar Grove",250,"August","2018"
"1529","08/19/2018","Orchard",500,"August","2018"
"1530","08/19/2018","Coney Island",25250,"August","2018"
"1531","08/19/2018","Manhattan",400,"August","2018"
"1532","08/19/2018","Rockaway",200,"August","2018"
"1533","08/19/2018","Midland",3400,"August","2018"
"1534","08/19/2018","South beach",2850,"August","2018"
"1535","08/19/2018","Wolfe's Pond",60,"August","2018"
"1536","08/19/2018","Cedar Grove",90,"August","2018"
"1537","08/20/2018","Orchard",300,"August","2018"
"1538","08/20/2018","Coney Island",18300,"August","2018"
"1539","08/20/2018","Manhattan",350,"August","2018"
"1540","08/20/2018","Rockaway",9000,"August","2018"
"1541","08/20/2018","Midland",1800,"August","2018"
"1542","08/20/2018","South beach",2150,"August","2018"
"1543","08/20/2018","Wolfe's Pond",155,"August","2018"
"1544","08/20/2018","Cedar Grove",80,"August","2018"
"1545","08/21/2018","Orchard",400,"August","2018"
"1546","08/21/2018","Coney Island",14700,"August","2018"
"1547","08/21/2018","Manhattan",400,"August","2018"
"1548","08/21/2018","Rockaway",8500,"August","2018"
"1549","08/21/2018","Midland",1100,"August","2018"
"1550","08/21/2018","South beach",1400,"August","2018"
"1551","08/21/2018","Wolfe's Pond",80,"August","2018"
"1552","08/21/2018","Cedar Grove",90,"August","2018"
"1553","08/22/2018","Orchard",600,"August","2018"
"1554","08/22/2018","Coney Island",17350,"August","2018"
"1555","08/22/2018","Manhattan",950,"August","2018"
"1556","08/22/2018","Rockaway",19000,"August","2018"
"1557","08/22/2018","Midland",1300,"August","2018"
"1558","08/22/2018","South beach",1600,"August","2018"
"1559","08/22/2018","Wolfe's Pond",70,"August","2018"
"1560","08/22/2018","Cedar Grove",80,"August","2018"
"1561","08/23/2018","Orchard",8200,"August","2018"
"1562","08/23/2018","Coney Island",21000,"August","2018"
"1563","08/23/2018","Manhattan",800,"August","2018"
"1564","08/23/2018","Rockaway",28500,"August","2018"
"1565","08/23/2018","Midland",2700,"August","2018"
"1566","08/23/2018","South beach",3000,"August","2018"
"1567","08/23/2018","Wolfe's Pond",230,"August","2018"
"1568","08/23/2018","Cedar Grove",150,"August","2018"
"1569","08/24/2018","Orchard",5000,"August","2018"
"1570","08/24/2018","Coney Island",66000,"August","2018"
"1571","08/24/2018","Manhattan",1000,"August","2018"
"1572","08/24/2018","Rockaway",52500,"August","2018"
"1573","08/24/2018","Midland",3850,"August","2018"
"1574","08/24/2018","South beach",4400,"August","2018"
"1575","08/24/2018","Wolfe's Pond",165,"August","2018"
"1576","08/24/2018","Cedar Grove",330,"August","2018"
"1577","08/25/2018","Orchard",17000,"August","2018"
"1578","08/25/2018","Coney Island",50500,"August","2018"
"1579","08/25/2018","Manhattan",3500,"August","2018"
"1580","08/25/2018","Rockaway",119500,"August","2018"
"1581","08/25/2018","Midland",4800,"August","2018"
"1582","08/25/2018","South beach",5100,"August","2018"
"1583","08/25/2018","Wolfe's Pond",475,"August","2018"
"1584","08/25/2018","Cedar Grove",370,"August","2018"
"1585","08/26/2018","Orchard",63000,"August","2018"
"1586","08/26/2018","Coney Island",100000,"August","2018"
"1587","08/26/2018","Manhattan",4200,"August","2018"
"1588","08/26/2018","Rockaway",137500,"August","2018"
"1589","08/26/2018","Midland",7700,"August","2018"
"1590","08/26/2018","South beach",7600,"August","2018"
"1591","08/26/2018","Wolfe's Pond",750,"August","2018"
"1592","08/26/2018","Cedar Grove",550,"August","2018"
"1593","08/27/2018","Orchard",30700,"August","2018"
"1594","08/27/2018","Coney Island",23500,"August","2018"
"1595","08/27/2018","Manhattan",1600,"August","2018"
"1596","08/27/2018","Rockaway",133500,"August","2018"
"1597","08/27/2018","Midland",1950,"August","2018"
"1598","08/27/2018","South beach",2100,"August","2018"
"1599","08/27/2018","Wolfe's Pond",130,"August","2018"
"1600","08/27/2018","Cedar Grove",350,"August","2018"
"1601","08/28/2018","Orchard",73200,"August","2018"
"1602","08/28/2018","Coney Island",45500,"August","2018"
"1603","08/28/2018","Manhattan",14500,"August","2018"
"1604","08/28/2018","Rockaway",48,"August","2018"
"1605","08/28/2018","Midland",500,"August","2018"
"1606","08/28/2018","South beach",8400,"August","2018"
"1607","08/28/2018","Wolfe's Pond",85,"August","2018"
"1608","08/28/2018","Cedar Grove",300,"August","2018"
"1609","08/29/2018","Orchard",79000,"August","2018"
"1610","08/29/2018","Coney Island",82500,"August","2018"
"1611","08/29/2018","Manhattan",4500,"August","2018"
"1612","08/29/2018","Rockaway",70000,"August","2018"
"1613","08/29/2018","Midland",4950,"August","2018"
"1614","08/29/2018","South beach",6600,"August","2018"
"1615","08/29/2018","Wolfe's Pond",145,"August","2018"
"1616","08/29/2018","Cedar Grove",150,"August","2018"
"1617","08/30/2018","Orchard",11000,"August","2018"
"1618","08/30/2018","Coney Island",62100,"August","2018"
"1619","08/30/2018","Manhattan",1200,"August","2018"
"1620","08/30/2018","Rockaway",45500,"August","2018"
"1621","08/30/2018","Midland",5600,"August","2018"
"1622","08/30/2018","South beach",6950,"August","2018"
"1623","08/30/2018","Wolfe's Pond",145,"August","2018"
"1624","08/30/2018","Cedar Grove",125,"August","2018"
"1625","08/31/2018","Orchard",100,"August","2018"
"1626","08/31/2018","Coney Island",16500,"August","2018"
"1627","08/31/2018","Manhattan",200,"August","2018"
"1628","08/31/2018","Rockaway",7200,"August","2018"
"1629","08/31/2018","Midland",1875,"August","2018"
"1630","08/31/2018","South beach",2575,"August","2018"
"1631","08/31/2018","Wolfe's Pond",70,"August","2018"
"1632","08/31/2018","Cedar Grove",85,"August","2018"
"1633","05/25/2019","Orchard",1800,"May","2019"
"1634","05/25/2019","Coney Island",37000,"May","2019"
"1635","05/25/2019","Manhattan",600,"May","2019"
"1636","05/25/2019","Rockaway",22500,"May","2019"
"1637","05/25/2019","Midland",5375,"May","2019"
"1638","05/25/2019","South beach",5950,"May","2019"
"1639","05/25/2019","Wolfe's Pond",535,"May","2019"
"1640","05/25/2019","Cedar Grove",130,"May","2019"
"1641","05/26/2019","Orchard",58000,"May","2019"
"1642","05/26/2019","Coney Island",185000,"May","2019"
"1643","05/26/2019","Manhattan",12900,"May","2019"
"1644","05/26/2019","Rockaway",200000,"May","2019"
"1645","05/26/2019","Midland",7500,"May","2019"
"1646","05/26/2019","South beach",8800,"May","2019"
"1647","05/26/2019","Wolfe's Pond",470,"May","2019"
"1648","05/26/2019","Cedar Grove",280,"May","2019"
"1649","05/27/2019","Orchard",32500,"May","2019"
"1650","05/27/2019","Coney Island",94000,"May","2019"
"1651","05/27/2019","Manhattan",8200,"May","2019"
"1652","05/27/2019","Rockaway",90000,"May","2019"
"1653","05/27/2019","Midland",10800,"May","2019"
"1654","05/27/2019","South beach",11200,"May","2019"
"1655","05/27/2019","Wolfe's Pond",280,"May","2019"
"1656","05/27/2019","Cedar Grove",350,"May","2019"
"1657","05/28/2019","Orchard",275,"May","2019"
"1658","05/28/2019","Coney Island",175,"May","2019"
"1659","05/28/2019","Manhattan",25,"May","2019"
"1660","05/28/2019","Rockaway",700,"May","2019"
"1661","05/28/2019","Midland",450,"May","2019"
"1662","05/28/2019","South beach",475,"May","2019"
"1663","05/28/2019","Wolfe's Pond",152,"May","2019"
"1664","05/28/2019","Cedar Grove",90,"May","2019"
"1665","05/29/2019","Orchard",525,"May","2019"
"1666","05/29/2019","Coney Island",4000,"May","2019"
"1667","05/29/2019","Manhattan",57,"May","2019"
"1668","05/29/2019","Rockaway",950,"May","2019"
"1669","05/29/2019","Midland",550,"May","2019"
"1670","05/29/2019","South beach",600,"May","2019"
"1671","05/29/2019","Wolfe's Pond",105,"May","2019"
"1672","05/29/2019","Cedar Grove",60,"May","2019"
"1673","05/30/2019","Orchard",560,"May","2019"
"1674","05/30/2019","Coney Island",2000,"May","2019"
"1675","05/30/2019","Manhattan",200,"May","2019"
"1676","05/30/2019","Rockaway",3000,"May","2019"
"1677","05/30/2019","Midland",715,"May","2019"
"1678","05/30/2019","South beach",735,"May","2019"
"1679","05/30/2019","Wolfe's Pond",10,"May","2019"
"1680","05/30/2019","Cedar Grove",25,"May","2019"
"1681","05/31/2019","Orchard",1500,"May","2019"
"1682","05/31/2019","Coney Island",73500,"May","2019"
"1683","05/31/2019","Manhattan",1100,"May","2019"
"1684","05/31/2019","Rockaway",42500,"May","2019"
"1685","05/31/2019","Midland",2140,"May","2019"
"1686","05/31/2019","South beach",2600,"May","2019"
"1687","05/31/2019","Wolfe's Pond",125,"May","2019"
"1688","05/31/2019","Cedar Grove",160,"May","2019"
"1689","06/01/2019","Orchard",2800,"June","2019"
"1690","06/01/2019","Coney Island",56000,"June","2019"
"1691","06/01/2019","Manhattan",900,"June","2019"
"1692","06/01/2019","Rockaway",25000,"June","2019"
"1693","06/01/2019","Midland",6400,"June","2019"
"1694","06/01/2019","South beach",7500,"June","2019"
"1695","06/01/2019","Wolfe's Pond",500,"June","2019"
"1696","06/01/2019","Cedar Grove",125,"June","2019"
"1697","06/02/2019","Orchard",2700,"June","2019"
"1698","06/02/2019","Coney Island",58000,"June","2019"
"1699","06/02/2019","Manhattan",800,"June","2019"
"1700","06/02/2019","Rockaway",45000,"June","2019"
"1701","06/02/2019","Midland",6700,"June","2019"
"1702","06/02/2019","South beach",7500,"June","2019"
"1703","06/02/2019","Wolfe's Pond",375,"June","2019"
"1704","06/02/2019","Cedar Grove",170,"June","2019"
"1705","06/03/2019","Orchard",550,"June","2019"
"1706","06/03/2019","Coney Island",9500,"June","2019"
"1707","06/03/2019","Manhattan",800,"June","2019"
"1708","06/03/2019","Rockaway",2150,"June","2019"
"1709","06/03/2019","Midland",650,"June","2019"
"1710","06/03/2019","South beach",800,"June","2019"
"1711","06/03/2019","Wolfe's Pond",400,"June","2019"
"1712","06/03/2019","Cedar Grove",95,"June","2019"
"1713","06/04/2019","Orchard",335,"June","2019"
"1714","06/04/2019","Coney Island",10000,"June","2019"
"1715","06/04/2019","Manhattan",550,"June","2019"
"1716","06/04/2019","Rockaway",7700,"June","2019"
"1717","06/04/2019","Midland",2800,"June","2019"
"1718","06/04/2019","South beach",1700,"June","2019"
"1719","06/04/2019","Wolfe's Pond",360,"June","2019"
"1720","06/04/2019","Cedar Grove",115,"June","2019"
"1721","06/05/2019","Orchard",600,"June","2019"
"1722","06/05/2019","Coney Island",7000,"June","2019"
"1723","06/05/2019","Manhattan",350,"June","2019"
"1724","06/05/2019","Rockaway",1900,"June","2019"
"1725","06/05/2019","Midland",625,"June","2019"
"1726","06/05/2019","South beach",825,"June","2019"
"1727","06/05/2019","Wolfe's Pond",230,"June","2019"
"1728","06/05/2019","Cedar Grove",40,"June","2019"
"1729","06/06/2019","Orchard",4800,"June","2019"
"1730","06/06/2019","Coney Island",32000,"June","2019"
"1731","06/06/2019","Manhattan",850,"June","2019"
"1732","06/06/2019","Rockaway",37500,"June","2019"
"1733","06/06/2019","Midland",2550,"June","2019"
"1734","06/06/2019","South beach",3125,"June","2019"
"1735","06/06/2019","Wolfe's Pond",185,"June","2019"
"1736","06/06/2019","Cedar Grove",75,"June","2019"
"1737","06/07/2019","Orchard",3400,"June","2019"
"1738","06/07/2019","Coney Island",36700,"June","2019"
"1739","06/07/2019","Manhattan",600,"June","2019"
"1740","06/07/2019","Rockaway",30000,"June","2019"
"1741","06/07/2019","Midland",1575,"June","2019"
"1742","06/07/2019","South beach",2400,"June","2019"
"1743","06/07/2019","Wolfe's Pond",270,"June","2019"
"1744","06/07/2019","Cedar Grove",140,"June","2019"
"1745","06/08/2019","Orchard",8500,"June","2019"
"1746","06/08/2019","Coney Island",120000,"June","2019"
"1747","06/08/2019","Manhattan",1300,"June","2019"
"1748","06/08/2019","Rockaway",45000,"June","2019"
"1749","06/08/2019","Midland",5000,"June","2019"
"1750","06/08/2019","South beach",5600,"June","2019"
"1751","06/08/2019","Wolfe's Pond",650,"June","2019"
"1752","06/08/2019","Cedar Grove",175,"June","2019"
"1753","06/09/2019","Orchard",16000,"June","2019"
"1754","06/09/2019","Coney Island",186500,"June","2019"
"1755","06/09/2019","Manhattan",2500,"June","2019"
"1756","06/09/2019","Rockaway",100000,"June","2019"
"1757","06/09/2019","Midland",6400,"June","2019"
"1758","06/09/2019","South beach",6000,"June","2019"
"1759","06/09/2019","Wolfe's Pond",660,"June","2019"
"1760","06/09/2019","Cedar Grove",230,"June","2019"
"1761","06/10/2019","Orchard",150,"June","2019"
"1762","06/10/2019","Coney Island",1150,"June","2019"
"1763","06/10/2019","Manhattan",110,"June","2019"
"1764","06/10/2019","Rockaway",650,"June","2019"
"1765","06/10/2019","Midland",250,"June","2019"
"1766","06/10/2019","South beach",450,"June","2019"
"1767","06/10/2019","Wolfe's Pond",45,"June","2019"
"1768","06/10/2019","Cedar Grove",55,"June","2019"
"1769","06/11/2019","Orchard",125,"June","2019"
"1770","06/11/2019","Coney Island",4800,"June","2019"
"1771","06/11/2019","Manhattan",150,"June","2019"
"1772","06/11/2019","Rockaway",13000,"June","2019"
"1773","06/11/2019","Midland",350,"June","2019"
"1774","06/11/2019","South beach",550,"June","2019"
"1775","06/11/2019","Wolfe's Pond",165,"June","2019"
"1776","06/11/2019","Cedar Grove",150,"June","2019"
"1777","06/12/2019","Orchard",1500,"June","2019"
"1778","06/12/2019","Coney Island",7000,"June","2019"
"1779","06/12/2019","Manhattan",250,"June","2019"
"1780","06/12/2019","Rockaway",10000,"June","2019"
"1781","06/12/2019","Midland",1400,"June","2019"
"1782","06/12/2019","South beach",1850,"June","2019"
"1783","06/12/2019","Wolfe's Pond",175,"June","2019"
"1784","06/12/2019","Cedar Grove",75,"June","2019"
"1785","06/13/2019","Orchard",75,"June","2019"
"1786","06/13/2019","Coney Island",1500,"June","2019"
"1787","06/13/2019","Manhattan",115,"June","2019"
"1788","06/13/2019","Rockaway",5300,"June","2019"
"1789","06/13/2019","Midland",90,"June","2019"
"1790","06/13/2019","South beach",134,"June","2019"
"1791","06/13/2019","Wolfe's Pond",60,"June","2019"
"1792","06/13/2019","Cedar Grove",25,"June","2019"
"1793","06/14/2019","Orchard",1020,"June","2019"
"1794","06/14/2019","Coney Island",11100,"June","2019"
"1795","06/14/2019","Manhattan",325,"June","2019"
"1796","06/14/2019","Rockaway",15000,"June","2019"
"1797","06/14/2019","Midland",1030,"June","2019"
"1798","06/14/2019","South beach",1150,"June","2019"
"1799","06/14/2019","Wolfe's Pond",255,"June","2019"
"1800","06/14/2019","Cedar Grove",95,"June","2019"
"1801","06/15/2019","Orchard",36600,"June","2019"
"1802","06/15/2019","Coney Island",126500,"June","2019"
"1803","06/15/2019","Manhattan",3400,"June","2019"
"1804","06/15/2019","Rockaway",68000,"June","2019"
"1805","06/15/2019","Midland",4000,"June","2019"
"1806","06/15/2019","South beach",5000,"June","2019"
"1807","06/15/2019","Wolfe's Pond",1030,"June","2019"
"1808","06/15/2019","Cedar Grove",300,"June","2019"
"1809","06/16/2019","Orchard",2800,"June","2019"
"1810","06/16/2019","Coney Island",73500,"June","2019"
"1811","06/16/2019","Manhattan",600,"June","2019"
"1812","06/16/2019","Rockaway",20000,"June","2019"
"1813","06/16/2019","Midland",3800,"June","2019"
"1814","06/16/2019","South beach",4600,"June","2019"
"1815","06/16/2019","Wolfe's Pond",325,"June","2019"
"1816","06/16/2019","Cedar Grove",260,"June","2019"
"1817","06/17/2019","Orchard",1000,"June","2019"
"1818","06/17/2019","Coney Island",2300,"June","2019"
"1819","06/17/2019","Manhattan",150,"June","2019"
"1820","06/17/2019","Rockaway",8000,"June","2019"
"1821","06/17/2019","Midland",350,"June","2019"
"1822","06/17/2019","South beach",550,"June","2019"
"1823","06/17/2019","Wolfe's Pond",80,"June","2019"
"1824","06/17/2019","Cedar Grove",100,"June","2019"
"1825","06/18/2019","Orchard",35,"June","2019"
"1826","06/18/2019","Coney Island",600,"June","2019"
"1827","06/18/2019","Manhattan",75,"June","2019"
"1828","06/18/2019","Rockaway",3100,"June","2019"
"1829","06/18/2019","Midland",250,"June","2019"
"1830","06/18/2019","South beach",325,"June","2019"
"1831","06/18/2019","Wolfe's Pond",40,"June","2019"
"1832","06/18/2019","Cedar Grove",45,"June","2019"
"1833","06/19/2019","Orchard",45,"June","2019"
"1834","06/19/2019","Coney Island",750,"June","2019"
"1835","06/19/2019","Manhattan",75,"June","2019"
"1836","06/19/2019","Rockaway",3500,"June","2019"
"1837","06/19/2019","Midland",270,"June","2019"
"1838","06/19/2019","South beach",505,"June","2019"
"1839","06/19/2019","Wolfe's Pond",40,"June","2019"
"1840","06/19/2019","Cedar Grove",0,"June","2019"
"1841","06/20/2019","Orchard",105,"June","2019"
"1842","06/20/2019","Coney Island",2250,"June","2019"
"1843","06/20/2019","Manhattan",75,"June","2019"
"1844","06/20/2019","Rockaway",9000,"June","2019"
"1845","06/20/2019","Midland",500,"June","2019"
"1846","06/20/2019","South beach",500,"June","2019"
"1847","06/20/2019","Wolfe's Pond",25,"June","2019"
"1848","06/20/2019","Cedar Grove",0,"June","2019"
"1849","06/21/2019","Orchard",280,"June","2019"
"1850","06/21/2019","Coney Island",20300,"June","2019"
"1851","06/21/2019","Manhattan",150,"June","2019"
"1852","06/21/2019","Rockaway",2750,"June","2019"
