,Country,2000,2001.0,2002.0,2003.0,2004.0,2005,2006.0,2007.0,2008.0,2009.0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021.0,2022.0
1,Australia,376896.5,377198.5,399905.8,399923.0,402051.8,406363.8,412437.8,417115.8,417560.3,442165.3,442910.5,448550.0,829988.8,830412.0,830600.8,830606.0,847506.8,855714.8,3030763.0,3036163.0,3036163.0,3036163.0,3036163.0
2,Belgium,55.25,55.25,55.25,58.25,58.25,350.25,350.25,350.25,350.25,350.25,350.25,350.25,1248.25,1248.25,1249.75,1249.75,1249.75,1249.75,1249.75,1249.75,1312.5,1312.5,1312.5
3,Canada,24661.75,24718.75,24918.5,28145.0,30039.5,32196.5,32534.0,32740.75,41618.75,42122.0,50992.0,51081.5,51087.75,52431.0,52434.5,53968.75,56240.5,168553.0,179983.5,508196.3,520922.0,520923.0,520923.0
4,Chile,8849.75,8849.75,8849.75,8868.75,10068.5,10177.0,10218.5,10219.75,10219.75,10219.75,160674.3,160674.3,160674.3,160674.5,160675.3,160896.3,461388.8,486509.3,1340514.0,1509188.0,1509192.0,1509216.0,1510300.0
5,Colombia,29421.75,29421.75,29421.75,29421.75,29421.75,60890.5,60906.5,60906.5,60910.5,60959.75,61416.5,61425.5,61426.5,63135.5,63829.0,63829.0,63832.75,94753.5,95429.75,95429.75,95429.75,95429.75,95429.75
6,Costa Rica,58358.75,58371.0,58371.0,58371.0,58371.0,58371.0,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58577.25,58577.25,59238.75,59238.75,166920.3
7,Denmark,7678.0,7678.0,7678.25,9451.25,11913.75,12282.5,12283.75,13020.5,13020.5,18667.0,18667.0,18676.25,18676.25,18676.25,18677.25,18677.25,19088.25,19088.25,19088.25,19088.25,19088.25,19088.25,19088.25
8,Estonia,580.5,580.5,580.5,580.5,6473.25,6529.5,6530.0,6544.0,6544.0,6575.0,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6730.75,6782.0,6782.0,6782.0,6782.0
9,Finland,7172.5,7222.25,7223.25,7225.0,7251.0,7448.5,7457.5,7461.5,7467.25,7470.0,7472.0,8126.0,8132.25,8133.75,8156.75,8868.75,8870.5,8874.5,8874.5,8876.0,8876.0,8879.5,8879.5
10,France,78823.0,78831.0,78835.5,78876.5,78877.5,80907.75,81150.5,84700.75,91109.5,95382.25,96512.0,97744.0,114213.8,115989.5,118465.5,121208.5,123158.0,123271.3,133928.0,134071.5,134072.8,134073.0,134073.0
11,Germany,9102.5,9226.5,9232.75,9237.5,17468.75,17487.25,17493.75,22524.75,25010.0,25062.5,25155.75,25157.25,25157.75,25157.75,25161.25,25170.0,25541.75,25584.75,25641.0,25657.75,25657.75,25657.75,25657.75
12,Greece,13845.25,16108.25,17255.25,17255.5,17255.75,17256.0,17270.25,17270.25,17595.0,17628.75,18242.5,22610.5,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25,22628.25
13,Iceland,2772.5,2771.5,2772.0,2772.0,2772.0,2772.0,2848.75,2849.5,2921.5,2927.25,2927.25,2942.75,2956.75,2956.75,3261.5,3261.5,3261.5,3261.5,3261.5,3263.5,3263.5,3315.5,3315.5
14,Ireland,2784.0,2784.0,2786.0,2786.0,2899.25,2902.75,2911.75,2918.75,2926.25,5727.5,5739.5,5762.0,5762.0,5762.0,5762.0,5762.0,8293.75,8653.0,8785.25,10020.5,10020.5,10020.5,10020.5
15,Israel,0.0,0.0,5.75,6.5,7.25,7.5,7.5,7.5,9.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
16,Italy,29997.0,29997.5,30024.75,30044.5,30294.75,34585.75,36834.25,37290.0,37290.75,37505.25,37505.25,37505.25,37506.25,37506.5,37506.5,37575.5,37634.75,38215.5,38826.0,39615.0,39924.25,39924.25,39924.25
17,Japan,276987.0,276987.0,276993.5,277322.3,277327.0,277451.0,277455.5,277508.5,277528.5,277538.0,277610.3,277671.8,278178.8,310789.8,313364.5,313482.8,313523.3,313536.0,313566.8,313566.8,541340.5,541340.5,541340.5
18,Korea,5995.75,5996.5,6006.75,6194.25,6265.25,6265.75,6298.75,6364.0,6692.75,6701.25,6720.5,6727.75,6796.25,6805.75,6841.5,6841.75,6930.5,6940.0,7925.5,7999.0,7999.25,7999.25,7999.25
19,Latvia,276.25,276.5,674.0,674.0,675.0,675.0,675.0,675.0,2389.75,2389.75,4636.25,4636.25,4636.25,4637.0,4637.0,4637.0,4637.0,4637.0,4637.0,4637.0,4637.0,4637.0,4637.0
20,Lithuania,1048.5,1048.5,1048.5,1048.5,1049.5,1093.5,1093.5,1093.5,1093.5,1096.25,1096.25,1096.25,1096.25,1414.25,1414.25,1554.0,1554.0,1554.0,1554.0,1554.0,1554.0,1554.0,1554.0
21,Mexico,32079.75,32079.75,32416.0,32481.5,42484.75,49598.25,49620.0,53485.5,55818.75,59808.5,59916.5,59917.0,60186.0,60212.0,60212.0,60212.0,566170.5,708751.3,708751.3,708751.3,708751.3,708751.3,708751.3
22,Netherlands,7607.0,7607.0,7610.0,7610.0,7616.25,7616.25,7616.25,7616.25,7616.25,13667.5,13689.25,13692.5,13692.5,13694.5,13814.5,13824.75,17155.5,17155.5,17206.25,17206.25,17206.25,17206.25,17206.25
23,New Zealand,22591.75,106739.8,106741.0,106741.3,106752.3,106775.5,106806.3,1223604.0,1223623.0,1223623.0,1223623.0,1223627.0,1223627.0,1223627.0,1223907.0,1223908.0,1223908.0,1223908.0,1223908.0,1223908.0,1223908.0,1223908.0,1223908.0
24,Norway,3825.25,3825.25,4170.5,4182.25,4210.0,6179.0,6180.25,6180.25,6181.75,6187.75,6235.0,6235.0,6746.5,6769.5,6769.5,6770.0,7563.25,7563.5,7576.0,7576.25,8076.25,8106.75,8106.75
25,Poland,346.0,347.25,347.25,347.25,7352.25,7355.25,7355.25,7396.0,7400.75,7407.75,7407.75,7418.5,7418.5,7418.5,7418.5,7418.75,7418.75,7418.75,7419.0,7419.0,7419.0,7419.0,7419.0
26,Portugal,39010.25,39010.25,39010.25,39010.25,39032.0,39035.0,40181.75,44204.5,45617.0,45644.5,45644.5,51322.0,51322.0,51322.0,51322.0,53913.5,76871.0,76873.75,76886.75,76886.75,76886.75,78358.0,78358.0
27,Slovenia,6.52,6.52,6.52,6.52,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,11.1,11.1,11.1,11.1,11.1,11.72,11.72,11.72,11.72,11.72
28,Spain,47672.0,47769.25,47774.75,48252.75,48480.5,48481.75,49246.5,49257.5,51677.25,51715.25,51787.5,53722.75,53807.5,53807.5,83386.0,83529.25,85123.25,85123.25,128481.0,128531.3,128538.0,128538.0,128538.0
29,Sweden,5059.25,5346.25,5443.75,5758.75,5781.75,6766.75,6810.0,6978.0,10933.75,10952.0,10969.25,12372.75,12433.25,12478.25,12853.75,12885.25,23599.5,23621.0,23777.0,23883.75,24485.25,24794.5,24808.25
30,Türkiye,290.0,290.0,290.0,290.0,290.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0,393.0
31,United Kingdom,8748.25,8782.25,8795.0,8807.0,9005.0,17763.5,17782.75,17783.25,20486.0,20486.0,20522.75,52413.0,61370.25,70239.0,129122.8,129747.5,139869.8,190769.5,193266.0,301220.5,301905.8,301905.8,301905.8
32,United States,111539.0,111554.0,111560.0,111563.0,111568.0,111572.0,1606405.0,1606470.0,1606474.0,1606477.0,1606721.0,1606781.0,1607593.0,1610816.0,1610818.0,1610826.0,1640635.0,1640636.0,1640636.0,1640681.0,1640681.0,1640681.0,1640681.0
33,European Union,262840.8,265680.3,267373.8,270010.3,294277.2,302605.4,307232.4,322248.2,342326.2,363714.7,368244.4,383561.9,401100.4,403963.6,440471.1,447480.8,493737.1,495250.8,552504.7,554898.9,555881.4,557665.7,557679.4
34,  American Samoa,35439.0,35439.5,35439.5,35440.75,35440.75,35441.0,35441.0,35441.0,35441.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0,35446.0
35,  Anguilla,58.0,58.0,58.0,58.0,58.0,58.0,58.0,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5
36,  Antigua and Barbuda,53.5,53.5,53.5,53.5,53.5,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25,313.5,313.5,313.5,313.5,313.5,313.5,313.5,313.5,313.5
37,  Argentina,4497.75,8085.25,8176.75,8176.75,8180.25,8634.75,8634.75,8634.75,8636.0,9363.0,9363.0,9392.75,11635.75,11635.75,11635.75,11635.75,11631.75,11631.75,82862.0,87191.75,87191.75,87191.75,87199.5
38,  Aruba,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
39,  Bahamas,697.5,697.5,921.25,921.25,921.25,921.25,921.25,921.25,1126.25,1256.75,1263.75,1263.75,3421.25,3421.25,3421.25,47426.75,47426.75,47426.75,47426.75,47426.75,47426.75,47426.75,47426.75
40,  Barbados,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75
41,  Belize,2791.5,2791.5,2824.75,2879.0,2879.0,2877.75,2877.75,2877.75,2877.75,2877.75,2877.75,2877.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75,4055.75
42,  Bermuda,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
43,  Bonaire,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,2760.5,24752.5,24752.5,24752.5,24752.5,24752.5,24752.5,24752.5,24752.5
44,  Bouvet Island,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75,2214.75
45,  Brazil,39701.25,39922.5,40448.5,44085.0,44180.5,44960.75,45819.75,45850.5,57298.5,57826.0,59231.75,59239.75,59240.0,59319.0,60309.75,60309.75,61173.25,61173.75,979951.8,979951.8,979951.8,979951.8,979951.8
46,  British Indian Ocean Territory,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5,642103.5
47,  British Virgin Islands,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
48,  Brunei Darussalam,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25
49,  Bulgaria,8.0,13.5,15.25,15.25,15.25,15.25,15.25,563.0,1896.5,1896.5,1896.5,1896.5,1896.5,1896.5,1896.5,2457.0,2459.0,2831.5,2831.5,2831.5,2831.5,2831.5,2831.5
50,  Cambodia,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,227.25,247.5,248.0,719.75,719.75,719.75,719.75,719.75
51,  Cayman Islands,79.75,79.75,88.0,93.25,93.25,93.25,93.25,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75
52,  China (People's Republic of),0.0,0.0,2199.25,2199.25,2690.5,2690.5,2690.5,2690.5,2690.5,2690.5,2690.5,2690.5,2690.5,3253.25,3253.25,3610.5,3610.5,3610.5,3610.5,5129.0,5129.0,5129.0,5129.0
53,  Christmas Islands,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
54,  Cocos (Keeling) Islands,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
55,  Cook Islands,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1980577.0,1980577.0,1980577.0,1980577.0,1980577.0,1980577.0
56,  Croatia,485.0,485.0,485.0,485.0,485.0,485.0,625.5,625.5,625.5,625.5,625.5,625.5,625.5,1197.25,5125.75,5125.75,5125.75,5125.75,5125.75,5125.75,5126.75,5126.75,5126.75
57,  Cuba,61.75,3926.75,7783.5,7783.5,7783.5,7783.5,7783.5,7783.5,8365.5,8365.5,11245.75,11245.75,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25,14230.25
58,  Cyprus,8416.0,8416.0,8416.0,8416.0,8416.0,8437.0,8437.0,8446.0,8450.25,8450.25,8450.25,8450.25,8450.25,8450.25,8450.25,8450.25,8450.5,8467.25,8467.25,8467.25,8467.25,8467.25,8467.25
59,  Curacao,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.25,7.25,7.25,7.25,7.25,9.25,9.25,9.25,9.25,9.25
60,  Dominica,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75
61,  Dominican Republic,896.0,896.0,896.0,896.0,38082.75,38082.75,38082.75,38082.75,38082.75,46446.25,46446.25,46446.5,46446.5,46446.5,46709.25,46709.25,46709.25,46709.25,46709.25,46709.25,46709.25,46709.25,46709.25
62,  Ecuador,139934.8,139963.0,139970.8,139970.8,140150.0,140150.0,140150.0,140450.5,140974.5,141522.8,141523.3,141546.5,141718.3,141718.2,141984.0,143415.2,144182.3,145054.8,145054.8,145054.8,145054.8,146361.5,206722.5
63,  El Salvador,0.0,0.0,0.0,0.0,0.0,298.0,298.0,507.0,507.0,507.0,507.0,668.25,668.25,668.25,702.5,702.5,702.5,702.5,702.5,708.75,708.75,708.75,708.75
