"","Location","Measure (Tonnes)","Year","Value","Flag.Codes"
"972","NLD","USD",2021,103280904,"E"
"973","NZL","TONNE",1995,70391,""
"974","NZL","TONNE",1996,74800,""
"975","NZL","TONNE",1997,76850,""
"976","NZL","TONNE",1998,93807,""
"977","NZL","TONNE",1999,91650,""
"978","NZL","TONNE",2000,85640,""
"979","NZL","TONNE",2001,76024,""
"980","NZL","TONNE",2002,86583,""
"981","NZL","TONNE",2003,84641,""
"982","NZL","TONNE",2004,92220,""
"983","NZL","TONNE",2005,105302,""
"984","NZL","TONNE",2006,107524,""
"985","NZL","TONNE",2007,111908,""
"986","NZL","TONNE",2008,112358,""
"987","NZL","TONNE",2009,104958,""
"988","NZL","TONNE",2010,110592,""
"989","NZL","TONNE",2011,117266,""
"990","NZL","TONNE",2012,100161,""
"991","NZL","TONNE",2013,97123,""
"992","NZL","TONNE",2014,109873.85,""
"993","NZL","TONNE",2015,91275.3,""
"994","NZL","TONNE",2016,109016.2,""
"995","NZL","TONNE",2017,116530,""
"996","NZL","TONNE",2018,104549,""
"997","NZL","TONNE",2019,114582,""
"998","NZL","TONNE",2020,118582,""
"999","NZL","TONNE",2021,116839,""
"1000","NZL","USD",1995,53995566,""
"1001","NZL","USD",1996,45518080,""
"1002","NZL","USD",1997,46425000,""
"1003","NZL","USD",1998,56974598,""
"1004","NZL","USD",1999,57550000,""
"1005","NZL","USD",2000,94628438,""
"1006","NZL","USD",2001,96422978,""
"1007","NZL","USD",2002,108388490,""
"1008","NZL","USD",2003,246801888,""
"1009","NZL","USD",2004,165929254,""
"1010","NZL","USD",2005,210166232,""
"1011","NZL","USD",2006,225518286,""
"1012","NZL","USD",2007,422668053,""
"1013","NZL","USD",2008,379502993,""
"1014","NZL","USD",2009,124296339,"E"
"1015","NZL","USD",2010,331790428,"E"
"1016","NZL","USD",2011,278443861,"E"
"1017","NZL","USD",2012,372557360,"E"
"1018","NZL","USD",2013,391305273,"E"
"1019","NZL","USD",2014,545618663,"E"
"1020","NZL","USD",2015,666545717,""
"1021","NZL","USD",2016,805882470,""
"1022","NZL","USD",2017,825222583,""
"1023","NZL","USD",2018,815051118,""
"1024","NZL","USD",2019,848666780,""
"1025","NZL","USD",2020,934022136,""
"1026","NZL","USD",2021,863754874,""
"1027","NOR","TONNE",1995,277615,""
"1028","NOR","TONNE",1996,321516,""
"1029","NOR","TONNE",1997,367617,""
"1030","NOR","TONNE",1998,410757,""
"1031","NOR","TONNE",1999,475932,""
"1032","NOR","TONNE",2000,491329,""
"1033","NOR","TONNE",2001,510748,""
"1034","NOR","TONNE",2002,551300,""
"1035","NOR","TONNE",2003,584422,""
"1036","NOR","TONNE",2004,636802,""
"1037","NOR","TONNE",2005,661877,""
"1038","NOR","TONNE",2006,712373,""
"1039","NOR","TONNE",2007,841560,""
"1040","NOR","TONNE",2008,848359,""
"1041","NOR","TONNE",2009,961839.85,""
"1042","NOR","TONNE",2010,1019801.94,""
"1043","NOR","TONNE",2011,1143893.34,""
"1044","NOR","TONNE",2012,1321119.2,""
"1045","NOR","TONNE",2013,1247865.082,""
"1046","NOR","TONNE",2014,1332497.022,""
"1047","NOR","TONNE",2015,1380890.06,""
"1048","NOR","TONNE",2016,1326216.18,""
"1049","NOR","TONNE",2017,1308633.792,""
"1050","NOR","TONNE",2018,1355116.8,""
"1051","NOR","TONNE",2019,1453042.385,""
"1052","NOR","TONNE",2020,1490412.045,""
"1053","NOR","TONNE",2021,1665112.048,""
"1054","NOR","USD",1995,1028311752,""
"1055","NOR","USD",1996,997221559,""
"1056","NOR","USD",1997,1053882316,""
"1057","NOR","USD",1998,1144395599,""
"1058","NOR","USD",1999,1339486723,""
"1059","NOR","USD",2000,1384659496,""
"1060","NOR","USD",2001,1019881949,""
"1061","NOR","USD",2002,1164782957,""
"1062","NOR","USD",2003,1352152725,""
"1063","NOR","USD",2004,1681282823,""
"1064","NOR","USD",2005,2136348584,""
"1065","NOR","USD",2006,2749410073,""
"1066","NOR","USD",2007,2999195815,""
"1067","NOR","USD",2008,3138993934,""
"1068","NOR","USD",2009,3590060289,""
"1069","NOR","USD",2010,5080909796,""
"1070","NOR","USD",2011,5157222046,""
"1071","NOR","USD",2012,5163822996,""
"1072","NOR","USD",2013,6890555585,""
"1073","NOR","USD",2014,7035711628,""
"1074","NOR","USD",2015,5811465881,""
"1075","NOR","USD",2016,7623796915,""
"1076","NOR","USD",2017,7856984258,""
"1077","NOR","USD",2018,8342458992,""
"1078","NOR","USD",2019,8152186710,""
"1079","NOR","USD",2020,7300554076,""
"1080","NOR","USD",2021,9363849820,""
"1081","POL","TONNE",1995,25111,""
"1082","POL","TONNE",1996,27700,""
"1083","POL","TONNE",1997,28680,""
"1084","POL","TONNE",1998,29791,""
"1085","POL","TONNE",1999,33711,""
"1086","POL","TONNE",2000,35795,""
"1087","POL","TONNE",2001,35460,""
"1088","POL","TONNE",2002,32709,""
"1089","POL","TONNE",2003,35436,""
"1090","POL","TONNE",2004,35131,""
"1091","POL","TONNE",2005,37920,""
"1092","POL","TONNE",2006,35867,""
"1093","POL","TONNE",2007,35628,""
"1094","POL","TONNE",2008,36813,""
"1095","POL","TONNE",2009,36503,""
"1096","POL","TONNE",2010,30751,""
"1097","POL","TONNE",2011,29037,""
"1098","POL","TONNE",2012,32261,""
"1099","POL","TONNE",2013,35208.13,""
"1100","POL","TONNE",2014,40109.69,""
"1101","POL","TONNE",2015,36971,""
"1102","POL","TONNE",2016,38293,""
"1103","POL","TONNE",2017,38799.77,""
"1104","POL","TONNE",2018,43361.335,""
"1105","POL","TONNE",2019,44719,""
"1106","POL","TONNE",2020,47700,"E"
"1107","POL","TONNE",2021,44787,""
"1108","POL","USD",1995,66854815,""
"1109","POL","USD",1996,68812000,""
"1110","POL","USD",1997,60577100,""
"1111","POL","USD",1998,61672340,""
"1112","POL","USD",1999,66237090,""
"1113","POL","USD",2000,66926727,""
"1114","POL","USD",2001,64222417,""
"1115","POL","USD",2002,60186529,""
"1116","POL","USD",2003,79173533,""
"1117","POL","USD",2004,79284993,""
"1118","POL","USD",2005,90878262,""
"1119","POL","USD",2006,93833995,""
"1120","POL","USD",2007,104967050,""
"1121","POL","USD",2008,107784403,""
"1122","POL","USD",2009,106520949,"E"
"1123","POL","USD",2010,89510240,"E"
"1124","POL","USD",2011,85659500,"E"
"1125","POL","USD",2012,104502088,""
"1126","POL","USD",2013,111833337,""
"1127","POL","USD",2014,127690225,""
"1128","POL","USD",2015,111161934,"E"
"1129","POL","USD",2016,119399960,"E"
"1130","POL","USD",2017,123506966,"E"
"1131","POL","USD",2018,151449529,"E"
"1132","POL","USD",2019,172971350,"E"
"1133","POL","USD",2020,188110790,"E"
"1134","POL","USD",2021,189102200,"E"
"1135","PRT","TONNE",1995,4981,""
"1136","PRT","TONNE",1996,5364,""
"1137","PRT","TONNE",1997,7185,""
"1138","PRT","TONNE",1998,7536,""
"1139","PRT","TONNE",1999,6268,""
"1140","PRT","TONNE",2000,7537,""
"1141","PRT","TONNE",2001,8209,""
"1142","PRT","TONNE",2002,8288,""
"1143","PRT","TONNE",2003,8033,""
"1144","PRT","TONNE",2004,6700,""
"1145","PRT","TONNE",2005,6696,""
"1146","PRT","TONNE",2006,7894,""
"1147","PRT","TONNE",2007,7416,""
"1148","PRT","TONNE",2008,7352,""
"1149","PRT","TONNE",2009,6728.1,""
"1150","PRT","TONNE",2010,8224.575,""
"1151","PRT","TONNE",2011,9165.39,""
"1152","PRT","TONNE",2012,10317.8,""
"1153","PRT","TONNE",2013,10067.21,""
"1154","PRT","TONNE",2014,11338.938,""
"1155","PRT","TONNE",2015,9562.876,""
"1156","PRT","TONNE",2016,9787.24,""
"1157","PRT","TONNE",2017,12508.74,""
"1158","PRT","TONNE",2018,13991.176,""
"1159","PRT","TONNE",2019,13690.77,""
"1160","PRT","TONNE",2020,20583.01,""
"1161","PRT","TONNE",2021,19516.475,""
"1162","PRT","USD",1995,28217500,""
"1163","PRT","USD",1996,31332800,""
"1164","PRT","USD",1997,48034400,""
"1165","PRT","USD",1998,50971000,""
"1166","PRT","USD",1999,39850800,""
"1167","PRT","USD",2000,50504800,""
"1168","PRT","USD",2001,55619900,""
"1169","PRT","USD",2002,42144426,""
"1170","PRT","USD",2003,41207821,""
"1171","PRT","USD",2004,36869076,""
"1172","PRT","USD",2005,42918018,""
"1173","PRT","USD",2006,54307123,""
"1174","PRT","USD",2007,54631818,""
"1175","PRT","USD",2008,59083482,""
"1176","PRT","USD",2009,47517576,""
"1177","PRT","USD",2010,63348892,""
"1178","PRT","USD",2011,81136346,""
"1179","PRT","USD",2012,68919267,""
"1180","PRT","USD",2013,72816567,""
"1181","PRT","USD",2014,68947104,""
"1182","PRT","USD",2015,59794823,""
"1183","PRT","USD",2016,66981949,""
"1184","PRT","USD",2017,93879935,""
"1185","PRT","USD",2018,116132925,""
"1186","PRT","USD",2019,115045234,""
"1187","PRT","USD",2020,156206781,""
"1188","PRT","USD",2021,193251704,""
"1189","SVK","TONNE",1995,1617,""
"1190","SVK","TONNE",1996,954,""
"1191","SVK","TONNE",1997,1254,""
"1192","SVK","TONNE",1998,648,""
"1193","SVK","TONNE",1999,872,""
"1194","SVK","TONNE",2000,887,""
"1195","SVK","TONNE",2001,999,""
"1196","SVK","TONNE",2002,829,""
"1197","SVK","TONNE",2003,881,""
"1198","SVK","TONNE",2004,1180,""
"1199","SVK","TONNE",2005,955,""
"1200","SVK","TONNE",2006,1263,""
"1201","SVK","TONNE",2007,1199,""
"1202","SVK","TONNE",2008,1071,""
"1203","SVK","TONNE",2009,834.9,""
"1204","SVK","TONNE",2010,702.4,""
"1205","SVK","TONNE",2011,834.5,""
"1206","SVK","TONNE",2012,1310.56,""
"1207","SVK","TONNE",2013,1106.2,""
"1208","SVK","TONNE",2014,1230.66,""
"1209","SVK","TONNE",2015,1308.63,""
"1210","SVK","TONNE",2016,2168.65,""
"1211","SVK","TONNE",2017,2646.264,""
"1212","SVK","TONNE",2018,2224.41,""
"1213","SVK","TONNE",2019,2687.54,""
"1214","SVK","TONNE",2020,2296,""
"1215","SVK","TONNE",2021,2304,"E"
"1216","SVK","USD",1995,3810265,""
"1217","SVK","USD",1996,2040452,""
"1218","SVK","USD",1997,2851537,""
"1219","SVK","USD",1998,1408889,""
"1220","SVK","USD",1999,1871134,""
"1221","SVK","USD",2000,1882700,""
"1222","SVK","USD",2001,2151700,""
"1223","SVK","USD",2002,1822600,""
"1224","SVK","USD",2003,1943000,""
"1225","SVK","USD",2004,2581000,""
"1226","SVK","USD",2005,2132000,""
"1227","SVK","USD",2006,2709000,""
"1228","SVK","USD",2007,2639250,""
"1229","SVK","USD",2008,4130366,""
"1230","SVK","USD",2009,2520037,""
"1231","SVK","USD",2010,2531912,""
"1232","SVK","USD",2011,3190507,""
"1233","SVK","USD",2012,4269296,""
"1234","SVK","USD",2013,4169997,""
"1235","SVK","USD",2014,4434377,""
"1236","SVK","USD",2015,4201044,""
"1237","SVK","USD",2016,5576674,""
"1238","SVK","USD",2017,6909923,""
"1239","SVK","USD",2018,6478835,""
"1240","SVK","USD",2019,8052917,""
"1241","SVK","USD",2020,6372611,""
"1242","SVK","USD",2021,6621004,"E"
"1243","ESP","TONNE",1995,225965,""
"1244","ESP","TONNE",1996,233633,""
"1245","ESP","TONNE",1997,241169,""
"1246","ESP","TONNE",1998,315908,""
"1247","ESP","TONNE",1999,320469,""
"1248","ESP","TONNE",2000,311429,""
"1249","ESP","TONNE",2001,311591,""
"1250","ESP","TONNE",2002,257249,""
"1251","ESP","TONNE",2003,271279,""
"1252","ESP","TONNE",2004,301981,""
"1253","ESP","TONNE",2005,225029,""
"1254","ESP","TONNE",2006,297891.2,""
"1255","ESP","TONNE",2007,287985.4,""
"1256","ESP","TONNE",2008,255291.24,""
"1257","ESP","TONNE",2009,271567.364,""
"1258","ESP","TONNE",2010,256785.65,""
"1259","ESP","TONNE",2011,277253.824,""
"1260","ESP","TONNE",2012,269595.676,""
"1261","ESP","TONNE",2013,229307.638,""
"1262","ESP","TONNE",2014,288009.863,""
"1263","ESP","TONNE",2015,296571.976,""
"1264","ESP","TONNE",2016,290484.082,""
"1265","ESP","TONNE",2017,318143.023,"E"
"1266","ESP","TONNE",2018,356903.01,""
"1267","ESP","TONNE",2019,311041.77,""
"1268","ESP","TONNE",2020,276626.851,""
"1269","ESP","TONNE",2021,279910.049,""
"1270","ESP","USD",1995,253015387,""
"1271","ESP","USD",1996,253130682,""
"1272","ESP","USD",1997,251438162,""
"1273","ESP","USD",1998,287076200,""
"1274","ESP","USD",1999,307217200,""
"1275","ESP","USD",2000,335499000,""
"1276","ESP","USD",2001,342522350,""
"1277","ESP","USD",2002,306989400,""
"1278","ESP","USD",2003,311879400,""
"1279","ESP","USD",2004,412788550,""
"1280","ESP","USD",2005,353408500,""
"1281","ESP","USD",2006,390772923,""
"1282","ESP","USD",2007,445358284,""
"1283","ESP","USD",2008,612409178,""
"1284","ESP","USD",2009,551714303,""
"1285","ESP","USD",2010,551128454,""
"1286","ESP","USD",2011,626604882,""
"1287","ESP","USD",2012,547502450,""
"1288","ESP","USD",2013,577098284,""
"1289","ESP","USD",2014,632991466,""
"1290","ESP","USD",2015,575466420,""
"1291","ESP","USD",2016,626113295,""
"1292","ESP","USD",2017,659629014,"E"
"1293","ESP","USD",2018,678770012,""
"1294","ESP","USD",2019,715508798,""
"1295","ESP","USD",2020,658140445,""
"1296","ESP","USD",2021,776521300,""
"1297","SWE","TONNE",1995,7554,""
"1298","SWE","TONNE",1996,8244,""
"1299","SWE","TONNE",1997,6683,""
"1300","SWE","TONNE",1998,5476,""
"1301","SWE","TONNE",1999,6004,""
"1302","SWE","TONNE",2000,4834,""
"1303","SWE","TONNE",2001,6773,""
"1304","SWE","TONNE",2002,5618,""
"1305","SWE","TONNE",2003,6334,""
"1306","SWE","TONNE",2004,5989,""
"1307","SWE","TONNE",2005,5880,""
"1308","SWE","TONNE",2006,7549,""
"1309","SWE","TONNE",2007,5365,""
"1310","SWE","TONNE",2008,7595,""
"1311","SWE","TONNE",2009,8540,""
"1312","SWE","TONNE",2010,10644,""
"1313","SWE","TONNE",2011,13441,""
"1314","SWE","TONNE",2012,13757,""
"1315","SWE","TONNE",2013,13366,""
"1316","SWE","TONNE",2014,12899,""
"1317","SWE","TONNE",2015,12020,""
"1318","SWE","TONNE",2016,15747,""
"1319","SWE","TONNE",2017,14793,""
"1320","SWE","TONNE",2018,13095,""
"1321","SWE","TONNE",2019,11579.3,""
"1322","SWE","TONNE",2020,12090.3,""
"1323","SWE","TONNE",2021,15253,""
"1324","SWE","USD",1995,24885688,""
"1325","SWE","USD",1996,24786082,""
"1326","SWE","USD",1997,19363155,""
"1327","SWE","USD",1998,18140145,""
"1328","SWE","USD",1999,19900864,""
"1329","SWE","USD",2000,14903564,""
"1330","SWE","USD",2001,15656003,""
"1331","SWE","USD",2002,14729021,""
"1332","SWE","USD",2003,18836036,""
"1333","SWE","USD",2004,19599489,""
"1334","SWE","USD",2005,20923411,""
"1335","SWE","USD",2006,27877086,""
"1336","SWE","USD",2007,21415678,""
"1337","SWE","USD",2008,34284045,""
"1338","SWE","USD",2009,23343981,"E"
"1339","SWE","USD",2010,41128631,""
"1340","SWE","USD",2011,59105542,""
"1341","SWE","USD",2012,58664824,""
"1342","SWE","USD",2013,64077358,""
"1343","SWE","USD",2014,62275381,""
"1344","SWE","USD",2015,46067781,""
"1345","SWE","USD",2016,56751224,""
"1346","SWE","USD",2017,60736302,""
"1347","SWE","USD",2018,58159210,""
"1348","SWE","USD",2019,42471047,""
"1349","SWE","USD",2020,39655532,""
"1350","SWE","USD",2021,52623038,"E"
"1351","CHE","TONNE",1995,1161,""
"1352","CHE","TONNE",1996,1161,""
"1353","CHE","TONNE",1997,1150,""
"1354","CHE","TONNE",1998,1150,""
"1355","CHE","TONNE",1999,1135,""
"1356","CHE","TONNE",2000,1100,""
"1357","CHE","TONNE",2001,1135,""
"1358","CHE","TONNE",2002,1135,""
"1359","CHE","TONNE",2003,1100,""
"1360","CHE","TONNE",2004,1205,""
"1361","CHE","TONNE",2005,1214,""
"1362","CHE","TONNE",2006,1214,""
"1363","CHE","TONNE",2007,1216,""
"1364","CHE","TONNE",2008,1216,""
"1365","CHE","TONNE",2009,1249,""
"1366","CHE","TONNE",2010,1261,""
"1367","CHE","TONNE",2011,1466,""
"1368","CHE","TONNE",2012,1471,""
"1369","CHE","TONNE",2013,1593,""
"1370","CHE","TONNE",2014,1593,""
"1371","CHE","TONNE",2015,1593,""
"1372","CHE","TONNE",2016,1733,""
"1373","CHE","TONNE",2017,1733,""
"1374","CHE","TONNE",2018,1843,""
"1375","CHE","TONNE",2019,2358.1,""
"1376","CHE","TONNE",2020,2358.1,""
"1377","CHE","TONNE",2021,2364,""
"1378","CHE","USD",1995,14554535,""
"1379","CHE","USD",1996,13915130,""
"1380","CHE","USD",1997,11820757,""
"1381","CHE","USD",1998,11820757,""
"1382","CHE","USD",1999,11278940,""
"1383","CHE","USD",2000,9720300,""
"1384","CHE","USD",2001,10025980,""
"1385","CHE","USD",2002,10892250,""
"1386","CHE","USD",2003,12263295,""
"1387","CHE","USD",2004,13866081,""
"1388","CHE","USD",2005,11598000,""
"1389","CHE","USD",2006,11598000,""
"1390","CHE","USD",2007,11630000,""
"1391","CHE","USD",2008,12548000,"E"
"1392","CHE","USD",2009,13838000,"E"
"1393","CHE","USD",2010,14680000,""
"1394","CHE","USD",2011,17130000,""
"1395","CHE","USD",2012,17255000,""
"1396","CHE","USD",2013,18510000,""
"1397","CHE","USD",2014,18510000,""
"1398","CHE","USD",2015,18510000,""
"1399","CHE","USD",2016,30540000,""
"1400","CHE","USD",2017,30540000,""
"1401","CHE","USD",2018,32990000,""
"1402","CHE","USD",2019,42380200,""
"1403","CHE","USD",2020,42380200,""
"1404","CHE","USD",2021,42480000,""
"1405","TUR","TONNE",1995,21607,""
"1406","TUR","TONNE",1996,33201,""
"1407","TUR","TONNE",1997,45450,""
"1408","TUR","TONNE",1998,56700,""
"1409","TUR","TONNE",1999,63000,""
"1410","TUR","TONNE",2000,79031,""
"1411","TUR","TONNE",2001,67244,""
"1412","TUR","TONNE",2002,61165,""
"1413","TUR","TONNE",2003,79943,""
"1414","TUR","TONNE",2004,94450,""
"1415","TUR","TONNE",2005,119567,""
"1416","TUR","TONNE",2006,129333,""
"1417","TUR","TONNE",2007,140743,""
"1418","TUR","TONNE",2008,152896,""
"1419","TUR","TONNE",2009,159639,""
"1420","TUR","TONNE",2010,167721,""
"1421","TUR","TONNE",2011,188890,""
"1422","TUR","TONNE",2012,212805,""
"1423","TUR","TONNE",2013,233863.6,""
"1424","TUR","TONNE",2014,235133,""
"1425","TUR","TONNE",2015,240334,""
"1426","TUR","TONNE",2016,253395,""
"1427","TUR","TONNE",2017,276502,""
"1428","TUR","TONNE",2018,314537,""
"1429","TUR","TONNE",2019,373356,""
"1430","TUR","TONNE",2020,421411,""
"1431","TUR","TONNE",2021,471686,""
"1432","TUR","USD",1995,127197060,""
"1433","TUR","USD",1996,182568590,""
"1434","TUR","USD",1997,227960000,""
"1435","TUR","USD",1998,280745000,""
"1436","TUR","USD",1999,306408400,""
"1437","TUR","USD",2000,219775110,""
"1438","TUR","USD",2001,142315160,""
"1439","TUR","USD",2002,130481500,""
"1440","TUR","USD",2003,278614150,""
"1441","TUR","USD",2004,401864250,""
"1442","TUR","USD",2005,519887290,""
"1443","TUR","USD",2006,555171330,""
"1444","TUR","USD",2007,613942310,""
"1445","TUR","USD",2008,649636035,""
"1446","TUR","USD",2009,615737914,""
"1447","TUR","USD",2010,707981088,""
"1448","TUR","USD",2011,759911329,""
"1449","TUR","USD",2012,900530622,""
"1450","TUR","USD",2013,903303679,""
"1451","TUR","USD",2014,986990643,""
"1452","TUR","USD",2015,944559019,""
"1453","TUR","USD",2016,1072574985,""
"1454","TUR","USD",2017,1109937515,""
"1455","TUR","USD",2018,1161225888,""
"1456","TUR","USD",2019,1356074992,""
"1457","TUR","USD",2020,1549464028,""
"1458","TUR","USD",2021,2088315210,""
"1459","GBR","TONNE",1995,93838,""
"1460","GBR","TONNE",1996,109901,""
"1461","GBR","TONNE",1997,129715,""
"1462","GBR","TONNE",1998,137421,""
"1463","GBR","TONNE",1999,154800,""
"1464","GBR","TONNE",2000,152485,""
"1465","GBR","TONNE",2001,170516,""
"1466","GBR","TONNE",2002,179036,""
"1467","GBR","TONNE",2003,181838,"E"
"1468","GBR","TONNE",2004,207203,""
"1469","GBR","TONNE",2005,172813,""
"1470","GBR","TONNE",2006,171848,""
"1471","GBR","TONNE",2007,174200,""
"1472","GBR","TONNE",2008,175702,""
"1473","GBR","TONNE",2009,196597.82,""
"1474","GBR","TONNE",2010,201363.85,""
"1475","GBR","TONNE",2011,198967.6,""
"1476","GBR","TONNE",2012,205594.7,""
"1477","GBR","TONNE",2013,225762.183,""
"1478","GBR","TONNE",2014,234368.628,""
"1479","GBR","TONNE",2015,223037.573,""
"1480","GBR","TONNE",2016,204567.546,""
"1481","GBR","TONNE",2017,227672.446,""
"1482","GBR","TONNE",2018,189951.352,""
"1483","GBR","TONNE",2019,233889.419,""
"1484","GBR","TONNE",2020,216838.205,""
"1485","GBR","TONNE",2021,230279.5,"E"
"1486","GBR","USD",1995,265359902,""
"1487","GBR","USD",1996,268630624,""
"1488","GBR","USD",1997,426829001,""
"1489","GBR","USD",1998,427874200,""
"1490","GBR","USD",1999,478531176,""
"1491","GBR","USD",2000,461129049,""
"1492","GBR","USD",2001,512713157,""
"1493","GBR","USD",2002,544257789,""
"1494","GBR","USD",2003,517362988,"E"
"1495","GBR","USD",2004,593299796,""
"1496","GBR","USD",2005,619339740,""
"1497","GBR","USD",2006,768725436,""
"1498","GBR","USD",2007,934161269,""
"1499","GBR","USD",2008,967102935,""
"1500","GBR","USD",2009,780730386,""
"1501","GBR","USD",2010,799731825,""
"1502","GBR","USD",2011,1055070080,""
"1503","GBR","USD",2012,943951928,""
"1504","GBR","USD",2013,1250456076,""
"1505","GBR","USD",2014,1368834269,""
"1506","GBR","USD",2015,1132528684,""
"1507","GBR","USD",2016,1149526963,""
"1508","GBR","USD",2017,1468527648,""
"1509","GBR","USD",2018,1284362329,""
"1510","GBR","USD",2019,1474350471,""
"1511","GBR","USD",2020,1291620698,""
"1512","GBR","USD",2021,1474735440,"E"
"1513","USA","TONNE",1995,413454,""
"1514","USA","TONNE",1996,393346,""
"1515","USA","TONNE",1997,438356,""
"1516","USA","TONNE",1998,445119,""
"1517","USA","TONNE",1999,479212,""
"1518","USA","TONNE",2000,456830,""
"1519","USA","TONNE",2001,480362,""
"1520","USA","TONNE",2002,498899,""
"1521","USA","TONNE",2003,545971,""
"1522","USA","TONNE",2004,607570,""
"1523","USA","TONNE",2005,513920,""
"1524","USA","TONNE",2006,519967,""
"1525","USA","TONNE",2007,526045,""
"1526","USA","TONNE",2008,501326,""
"1527","USA","TONNE",2009,481224,""
"1528","USA","TONNE",2010,496699,""
"1529","USA","TONNE",2011,397292,""
"1530","USA","TONNE",2012,420386,""
"1531","USA","TONNE",2013,429011,""
"1532","USA","TONNE",2014,421189,""
"1533","USA","TONNE",2015,426014.5,""
"1534","USA","TONNE",2016,444697.5,""
"1535","USA","TONNE",2017,439698,""
"1536","USA","TONNE",2018,466174.392,""
"1537","USA","TONNE",2019,490304.704,""
"1538","USA","TONNE",2020,448534.606,""
"1539","USA","TONNE",2021,448614.606,"E"
"1540","USA","USD",1995,729186280,""
"1541","USA","USD",1996,736555855,""
"1542","USA","USD",1997,771401900,""
"1543","USA","USD",1998,781039610,""
"1544","USA","USD",1999,836936810,""
"1545","USA","USD",2000,848064930,""
"1546","USA","USD",2001,804166420,""
"1547","USA","USD",2002,725370110,""
"1548","USA","USD",2003,823347390,""
"1549","USA","USD",2004,922112010,""
"1550","USA","USD",2005,896336190,""
"1551","USA","USD",2006,1001601250,""
"1552","USA","USD",2007,957232160,""
"1553","USA","USD",2008,983582680,""
"1554","USA","USD",2009,958881720,""
"1555","USA","USD",2010,1023272110,""
"1556","USA","USD",2011,1104836630,""
"1557","USA","USD",2012,1007282200,""
"1558","USA","USD",2013,1176006720,""
"1559","USA","USD",2014,1108087414,""
"1560","USA","USD",2015,1149688250,""
"1561","USA","USD",2016,1243032230,""
"1562","USA","USD",2017,1212501160,""
"1563","USA","USD",2018,1319789666,""
"1564","USA","USD",2019,1274580411,""
"1565","USA","USD",2020,1211063211,""
"1566","USA","USD",2021,1211119211,"E"
"1567","ARG","TONNE",1995,1474,""
"1568","ARG","TONNE",1996,1322,""
"1569","ARG","TONNE",1997,1314,""
"1570","ARG","TONNE",1998,1040,"E"
"1571","ARG","TONNE",1999,1218,""
"1572","ARG","TONNE",2000,1784,""
"1573","ARG","TONNE",2001,1340,""
"1574","ARG","TONNE",2002,1457,""
"1575","ARG","TONNE",2003,1647,""
"1576","ARG","TONNE",2004,1848,""
"1577","ARG","TONNE",2005,2057,""
"1578","ARG","TONNE",2006,2528,""
"1579","ARG","TONNE",2007,2957,""
"1580","ARG","TONNE",2008,2700,""
"1581","ARG","TONNE",2009,2582.95,""
"1582","ARG","TONNE",2010,2654.35,""
"1583","ARG","TONNE",2011,3193.25,""
"1584","ARG","TONNE",2012,2958.42,""
"1585","ARG","TONNE",2013,3825.12,""
"1586","ARG","TONNE",2014,4002.71,""
"1587","ARG","TONNE",2015,3662.65,""
"1588","ARG","TONNE",2016,3673.485,""
"1589","ARG","TONNE",2017,3567.76,""
"1590","ARG","TONNE",2018,3205.31,""
"1591","ARG","TONNE",2019,2592.19,""
"1592","ARG","TONNE",2020,2084.5,""
"1593","ARG","TONNE",2021,3687,""
"1594","ARG","USD",1995,9220000,""
"1595","ARG","USD",1996,8737000,""
"1596","ARG","USD",1997,8497000,""
"1597","ARG","USD",1998,6660000,"E"
"1598","ARG","USD",1999,6770000,""
"1599","ARG","USD",2000,10395000,""
"1600","ARG","USD",2001,8162500,""
"1601","ARG","USD",2002,7676750,""
"1602","ARG","USD",2003,7152400,""
"1603","ARG","USD",2004,9950520,""
"1604","ARG","USD",2005,11461500,""
"1605","ARG","USD",2006,16729600,""
"1606","ARG","USD",2007,16741900,""
"1607","ARG","USD",2008,12475600,""
"1608","ARG","USD",2009,10826700,""
"1609","ARG","USD",2010,15480029,""
"1610","ARG","USD",2011,16406477,""
"1611","ARG","USD",2012,17992893,""
"1612","ARG","USD",2013,28370924,""
"1613","ARG","USD",2014,27871437,""
"1614","ARG","USD",2015,33613377,""
"1615","ARG","USD",2016,22958351,""
"1616","ARG","USD",2017,24539032,""
"1617","ARG","USD",2018,21708735,""
"1618","ARG","USD",2019,13353357,""
"1619","ARG","USD",2020,10799805,""
"1620","ARG","USD",2021,24774159,""
"1621","CHL","TONNE",1995,206266,""
"1622","CHL","TONNE",1996,323115,""
"1623","CHL","TONNE",1997,375113,""
"1624","CHL","TONNE",1998,361430,""
"1625","CHL","TONNE",1999,305494,""
"1626","CHL","TONNE",2000,425058,""
"1627","CHL","TONNE",2001,631634,""
"1628","CHL","TONNE",2002,617303,""
"1629","CHL","TONNE",2003,607338,"E"
"1630","CHL","TONNE",2004,696157,"E"
"1631","CHL","TONNE",2005,739368,"E"
"1632","CHL","TONNE",2006,832329,"E"
"1633","CHL","TONNE",2007,806166,"E"
"1634","CHL","TONNE",2008,870845,"E"
"1635","CHL","TONNE",2009,881084,""
"1636","CHL","TONNE",2010,713241,"E"
"1637","CHL","TONNE",2011,969539,""
"1638","CHL","TONNE",2012,1075547,""
"1639","CHL","TONNE",2013,1045718,""
"1640","CHL","TONNE",2014,1227359,""
"1641","CHL","TONNE",2015,1057742,""
"1642","CHL","TONNE",2016,1050117,""
